Número,Nombre ,Ingredientes ,Preparación 
r1,Tarta rapida de chocolate negro y galletas Oreo,"Galletas Oreo 200 g
Mantequilla reblandecida 100 g
Chocolate negro 70% de cacao 200 g
Nata liquida para montar 200 g
Mantequilla 25 g
Fideos de chocolate para decorar","Empezamos pulverizando las galletas Oreo con la ayuda de un robot de cocina. Las mezclamos con la mantequilla derretida, hasta obtener una pasta con la que forraremos la base y parte de las paredes del molde. Lo metemos en el congelador mientras preparamos el relleno.

Ponemos la nata en un cazo y la calentamos sin que llegue a hervir. La retiramos del fuego y añadimos el chocolate y la mantequilla, removiendo con unas varillas para que se deshaga el chocolate. Cuando esté todo integrado, vertemos esta crema sobre la base de galletas reservada.

Por último, decoramos la superficie de la tarta al gusto y guardamos en la nevera hasta el momento de servir."
r2,Tostadas francesas o french toast con fresas,"4 rebanadas (o 2 si son muy grandes) de pan con miga y un poco duro aunque no en exceso, que tenga ya de 1 a 3 días. Si quieres preparar un pan ideal para esta receta y casero, elabura nuestro pan para torrijas.
2 huevos.
150 ml de leche.
Una pizca de sal.
Azúcar al gusto (yo solo le he puesto 1 cucharadita de postre).
Canela molida al gusto o esencia de vainilla.
Mantequilla para engrasar la sartén.
Fresas o cualquier otra fruta para acompañar.","1. Si quieres servirlas con caramelo salado, lo mejor es tenerlo listo con antelación:
En un cazo pon el azúcar con la cucharada sopera de agua y mezcla.  2.Pon el cazo a fuego medio y, sin remover, espera a que se forme el caramelo y tome la tonalidad que prefieras pero sin que se oscurezca demasiado, con que empiece a estar dorado es suficiente.
3.Aparta el cazo del fuego e incorpora la mantequilla y mueve un poco el cazo para ayudar a que se mezcle y se derrita.
4. Calienta la nata (en otro cazo o en el microondas) hasta que esté casi hirviendo y viértela sobre el cazo junto con la pizca de sal. Ahora sí puedes mezclar con una cuchara o una espátula. 5.Vierte por encima la mezcla y deja que reposen, dándoles la vuelta cada 2 o 3 minutos. El tiempo de reposo depende del tipo de pan aunque suele rondar los 10 minutos. Por ejemplo si utilizas uno muy tierno, en cuanto veas que se ha blandeado un poco y corre el riesgo de romperse, sigue con el proceso. En cambio el que yo he utilizado ha necesitado unos 15 minutos ya que la corteza estaba un poco dura. 6.Pon una sartén a fuego medio-bajo con un poco de mantequilla y en cuanto esté derretida coloca encima las rebanadas de pan. Yo he tenido que prepararlas en dos tandas.
7. Cocínalas hasta que se doren por un lado, tardarán en torno a 5 minutos o incluso menos, dependiendo del tipo de pan y de la temperatura del fuego. 8.Dales la vuelta y que se cocinen de igual forma por el otro, y ya tienes listas las tostadas francesas o french toast."
r3,Ratatouille,"3 tomates pera. Como estos tomates suelen tener el mismo grosor, intenta que la berenjena y el calabacín tengan un grosor similar para que el tamaño de las rodajas coincida lo máximo posible.
1 berenjena.
1 calabacín.
200 gr de salsa de tomate o tomate frito. Si quieres puedes preparar nuestra receta de salsa de tomate casera.
Tomillo seco o las hierbas que prefieras (romero, orégano…).
Aceite de oliva virgen extra, pimienta negra recién molida y sal.","1. Si quieres preparar nuestra salsa de tomate casera salsa de tomate casera sin duda es lo primero que tendrás que elaborar.
2. Para preparar la ratatouille lava bien las verduras con agua y sécalas con papel de cocina. 3.Para agilizar esta receta al máximo lo ideal es utilizar una mandolina aunque si no tienes puedes cortar las verduras con un cuchillo bien afilado. La gran ventaja de la mandolina es que, además de ahorrarnos tiempo, nos permite cortar las rodajas todas del mismo grosor y eso además de quedar bonito hace que las verduras se cocinen mejor y a la vez.
4. Corta los tomates, la berenjena y el calabacín en rodajas finas, de grosor te recomiendo uno similar al que puedes ver en las fotos. Desecha los extremos de las verduras y quédate con el resto.
5. Para quitarle el amargor a la berenjena colócala en un escurridor, espolvorea abundante sal y déjala que «sude» 30 minutos. Después lávala bien con agua y escúrrela. 6. Coloca la salsa de tomate en el molde que hayas elegido, puede ser redondo que queda fenomenal aunque también puedes utilizar uno rectangular o cuadrado. 7. Precalienta el horno a 170ºC con calor arriba y abajo y ventilador.
8. Ahora viene la parte divertida, hay que ir colocando las verduras de forma alterna. Si te fijas en la fotografía he utilizado un recipiente a modo de «calzo» para sujetar la primera rodaja de berenjena y que así todo vaya cogiendo forma. Te recomiendo ir cogiendo una rodaja de berenjena, otra de tomate y otra de calabacín, juntarlas en tu mano una encima de otra y colocarlas en la bandeja. 9.Si te sobran verduras puedes utilizarlas por ejemplo salteándolas otro día pero no las tires. 10. Hazlo hasta completar el círculo externo y sigue con la parte interior tal y como puedes ver en las fotografías.
11. Echa un chorrito de aceite de oliva virgen extra por encima de las verduras, sal al gusto, pimienta negra recién molida y hierbas al gusto, en este caso he utilizado tomillo seco. 12. Cubre el molde perfectamente con papel de aluminio para conseguir que las verduras queden tiernas pero no se quemen.
13. Introduce el molde en el horno a altura media y deja que se hornee durante 1 hora.
14. Al cabo de esa hora saca el molde del horno, quítale el papel de aluminio, sube la temperatura del horno a 190ºC e introduce de nuevo el molde.
15. Hornea entre 20 y 30 minutos más y ve vigilando las verduras, estarán listas cuando se vean doraditas por encima pero sin llegar a quemarse."
r4,POLLO AL HORNO CON PAPAS,"1 pollo entero o 4 muslos completos (cuartos traseros)
4 patatas medianas
4 cebollas medianas
aceite de oliva
sal y pimienta
Tomillo seco","1.- Comenzamos pelando las patatas. Una vez peladas, las cortamos en rodajas finas, de no más de 1 centímetro de grosor. Después, las ponemos como base en una bandeja para horno. Pelamos también las cebollas y las cortamos en tiras finas. La ponemos sobre la patata y salpimentamos todo.

2.- A continuación ponemos los muslos encima de las patatas y la cebolla. Le añadimos a todo un vaso de agua y un chorrete de aceite de oliva. Así quedará mas jugoso mientras se hornea. Nos aseguramos que en el fondo de la fuente, haya siempre humedad. Así la guarnición no se va a quemar. Salpimentamos y añadimos un buen pellizco de tomillo seco a cada muslo (o al pollo completo, si has elegido la pieza completa)

3.- Metemos el pollo al horno a 220ºC si utilizas muslos. calor arriba y abajo. Dejamos hornear unos 30 minutos, hasta que se dore bien. Si utilizas un pollo entero, horneamos a 190ºC.

4.- Cuando esté bien dorado, sacamos la bandeja del horno, le damos la vuelta a las piezas. Así, se cocinará el otro lado.

5.- Inmediatamente después, volvemos a meter la bandeja dentro del horno. Finalmente dejamos cocinar aproximadamente el mismo tiempo, hasta que todo quede bien cocinado.

¡Pollo al horno con patatas y cebolla listo! Como resultado de poner la guarnición abajo del todo, aprovecharemos los juguitos que suelta el pollo durante el horneado ¡Éstos se mezclaran con la guarnición y tendremos una mezcla de sabores explosiva!"
r5,Receta de Gulash," 500 gramos de carne de ternera cortada en cubos
 3 tomate
 2 cebolla blanca
 1 pimiento rojo
 1 diente de ajo
 1 zanahoria
 4 cucharadas soperas de harina
 1 pizca de sal
 1 pizca de paprika (pimentón dulce)
 1 pizca de pimienta","1. Lo primero que debes hacer es alistar todos los ingredientes. Recuerda que puedes pedir en la carnicería que te corten en cubos la carne de ternera, y si no te gusta la carne de ternera puedes hacer el gulash con carne de res, carne de cerdo o carne de pollo. 2. En un plato aparte, salpimienta la carne y cúbrela con harina con el fin de espesar luego el goulash de ternera. 3. En una olla bien caliente con un poco de aceite de oliva y a fuego alto, cocina la carne hasta que se vea un poco dorada, luego resérvala en un plato aparte.  4. En la misma olla, cocina la cebolla y el pimentón cortado en cubos finos junto con la zanahoria pelada y cortada en rodajas también finas. Añade también el ajo a este sofrito y cocina durante 5 minutos a fuego igualmente alto. 5. Agrega los tomates rallados para obtener el jugo, junto con una cucharada de paprika o pimentón dulce, y sigue cocinando el goulash húngaro a fuego alto por 5 minutos más. 6. Después, para seguir con la preparación de esta carne en goulash, agrega de nuevo la carne, una taza de agua, tapa la olla y cocina durante 25 minutos a fuego medio. Rectifica sabor con sal y pimienta. 7. Sirve y degusta este delicioso goulash húngaro en el almuerzo o en la cena, si lo deseas puedes acompañar con papas al vapor, asadas o arroz blanco. Si te gustó esta receta o tienes alguna duda déjanos tus comentarios."
r6,Cerdo Agridulce,"500 gr. de carne de cerdo (yo suelo usar magro ya cortado en trozos, la carne que se suele usar para guisar, pero si te apetece ponerle lomo o incluso solomillo, adelante)
Sal y pimienta al gusto
2 cucharaditas de maicena
1 cebolla
1 cucharada sopera de aceite
Una lata pequeña de piña en su jugo (esas latitas que traen 3 ó 4 rodajas)
 
Para la salsa
El jugo que viene en la lata de piña
50 gr. de azúcar
80 gr. de ketchup (o si lo prefieres más suave, 40 gr. de ketchup y 40 gr. de tomate frito)
15 gr. de vinagre blanco (de manzana o de vino)
20 gr. de salsa de soja
1 cucharadita de maicena para espesar (opcional)","Empezaremos con la salsa, para tenerla lista y preparada para cuando llegue el momento.

No hay mucha ciencia, es tan sencillo como poner todos los ingredientes en un cazo y llevar a ebullición hasta que reduzca un poco y adquiera el espesor que queremos.

Seguidamente prepararemos la carne. Si no viene cortada, la cortaremos nosotros en trocitos de tamaño bocado y salpimentaremos al gusto.

Después espolvorearemos por la carne las dos cucharaditas de maicena. Yo lo hice sobre la misma tabla de cortar en donde preparé la carne, pero si ves que vas a manchar mucho, echa los trocitos de carne a un bol grande o una ensaladera, echa la harina y revuelve bien.

A continuación, en una olla o sartén amplia, ponemos a calentar el aceite y pochamos la cebolla que hemos debido cortar antes en juliana (o sea, en tiras, no hace falta picarla fino).

Con la cebolla pochada, agregamos la carne que teníamos reservada ya rebozada en la harina de maíz y removemos bien para hacer la carne.

Finalmente, añadimos las 3 ó 4 rodajitas de piña cortada en trocitos y rehogamos un poco más a fuego lento durante un par de minutos.

Por último, agregamos la salsa que teníamos resrevada  y mezclamos todo bien.

Listo! Fácil y rápido!  Acompáñalo con unos rollitos de primavera o un arroz tres delicias y tendrás un plato completo y chino chino."
r7,Trucha a la plancha," 2 truchas medianas
 1 chorro de aceite de oliva
 1 diente de ajo
 1 puñado de perejil
 1 pizca de sal
 1 pizca de pimienta","1. Pedimos en la pescadería que nos limpien las truchas quitándonos la espina central. Ponemos una plancha al fuego con un poco de aceite para que se caliente. Cuando esté caliente, colocamos la trucha en la plancha con la piel hacía arriba y la dejamos unos 3-4 minutos, según lo grande que sea el pescado. Luego, le damos la vuelta y dejamos que se cocine durante 5-8 minutos más. 2. Por otro lado, trituramos el ajo y el perejil con el aceite de oliva. Podemos dejarlo en un bol o cualquier otro recipiente mientras se cocina la trucha a la plancha. 3. Cuando ya esté dorada la trucha, la sacamos y la servimos en un plato. Ponemos un poco de sal y pimienta para potenciar su sabor.  4. Servimos la salsa de ajo y perejil sobre los filetes de trucha a la plancha y disfrutamos de este saludable y delicioso plato. Para acompañar, podemos hacer unas patatas al horno o unas verduras a la plancha. Sin duda, esta es una cena de lo más ligera y nutritiva. "
r8,Cazuela de mariscos,"1 cucharada de mantequilla
1 cucharada de aceite de oliva
½ taza de pimientón verde picado
½ taza de pimientón rojo picado
1 taza de cebolla picada
2 dientes de ajo picado
1 taza de zanahoria rallada
1 pastilla de caldo de pescado
¼ cucharadita de pimentón
4 tazas de crema de leche
1 lata (13,5 oz) de leche de coco
1/3 taza de vino blanco
2 libras de camarones jumbo, pelados y limpios
12 almejas littleneck, limpias
2 libras de pescado, cortado en trozos
1 cucharada de cilantro fresco picado
1 cucharada de perejil fresco picado
1 cucharada de pasta de tomate","1. En una cacerola grande, a fuego medio, caliente el aceite de oliva y la mantequilla.
2. Añadir la cebolla, el pimientón rojo, el ajo, el pimientón verde y la zanahoria y saltear hasta que estén tiernos y translúcido, a unos 10 minutos, revolviendo ocasionalmente. Añadir sal y pimienta.
3. Añadir la crema, el caldo de pescado, leche de coco, poner a hervir. Agregar los mariscos y cubrir. Reducir el calor y cocinar unos 2 minutos hasta que las almejas esten abiertas. Retire del fuego y deseche todas las almejas sin abrir.
4. Añadir la pasta de tomate y el vino, cocine a fuego lento durante 20 minutos.
5. Adorne con cilantro fresco y perejil y servir caliente"
r9,Empanadas,"1 ½ tazas de harina de maíz precocida amarilla.
2 tazas de agua.
1 cucharada de aceite vegetal.
½ cucharada de sazón con azafrán.
½ cucharadita de sal.

Para el relleno
2 tazas de papas blancas peladas y partidas en cubos.
1 tableta de caldo pollo o vegetales.
1 cucharada de aceite de oliva.
¼ de taza de cebolla blanca picada.
1 taza de tomate picado.
½ cucharadita de sal.
¼ de taza de cebolla larga picada.
1 diente de ajo picado.
2 cucharadas de cilantro fresco picado.
2 cucharadas de pimentón rojo picado.
¼ cucharadita de pimienta negra.
1/2 libra carne molida de cerdo y carne de res.
","Para la masa:
En un recipiente agrega agua caliente, aceite sazón o color y sal, revuelve bien para mezclar, luego ve agregando la harina y amasa con las manos por 2 minutos o hasta que quede suave. Cubre la masa con plástico y deja reposar durante 10 minutos.    Para el relleno:
1. Cocina las papas en agua durante 20 – 25 minutos, retira el agua y tritúralas para obtener un puré.

2. En un sartén con aceite sofríe la cebolla a fuego medio durante 5 minutos, luego agrega los tomates, cebolla larga, ajo, pimentón, cilantro, sal y pimienta negra y cocina por 15 minutos. Incorpora la carne y revuelve constantemente hasta mezclar todos los ingredientes.

3. Cuando esté lista la carne retira del fuego y agrega el puré de papas, mezcla hasta logra una textura homogénea.     Para armar las empanadas:
1. Con las palmas de las manos crea pequeñas porciones redondas de masa, de aproximadamente 1 ½ cucharadas cada una. luego haz presión con la ayuda de un plato para formar un círculo plano o puedes usar un rodillo si prefieres. Coloca 1 cucharada de relleno en el centro de cada circulo.

2. Con la ayuda del plástico, dobla el círculo de la masa a la mitad para formar una media luna, sella el borde con un tenedor o con los dedos y luego corta con una taza pequeña. Repite este proceso con todas las empanadas.

3. Coloca una olla con aceite a calendar a fuego medio a 360 ° F, cuando el aceite esté caliente agrega 3 o 4 empanadas y deja freír hasta que se doren por todos los lados.

"
r10,Ramen,"Carcasa de pollo (para el caldo)
1
Panceta de cerdo en un solo trozo (para el caldo)
300 g
Cebolla (para el caldo)
1
Puerro solo la parte verde (para el caldo)
2
Zanahoria (para el caldo)
2
Dientes de ajo (para el caldo)
3
Jengibre fresco (para el caldo)
Setas shiitake frescas (para el caldo)
4
Huevos (para los huevos marinados)
4
Diente de ajo (para los huevos marinados)
1
Jengibre fresco (para los huevos marinados)
Salsa de soja (para los huevos marinados)
200 ml
Mirin (para los huevos marinados)
60 ml
Azúcar moreno (para los huevos marinados)
25 g
Fideos para ramen
300 g
Cebollino
Alga nori
Brotes de espinacas
","Atamos la panceta con hilo de bramante de forma que la piel quede por fuera y prácticamente se junten un extremo y otro. Calentamos un poco de aceite en una olla exprés y marcamos la panceta por todas partes hasta dorar. Retiramos y desechamos el aceite.

Introducimos todas las verduras, peladas y lavadas, en la olla: la cebolla, la parte verde de los puerros, las zanahorias y los dientes de ajo. Limpiamos las setas de restos de tierra, cortamos tres rodajas de jengibre y añadimos a la olla.

Incorporamos la carcasa de pollo y la panceta. Cubrimos con agua, cerramos la olla y llevamos a ebullición. Colocamos la válvula en la posición 2 y contamos 15 minutos desde el momento en que empiece a salir el vapor. Apagamos el fuego y esperamos a que baje la presión para abrir la olla.

Reservamos la panceta y las setas, utilizaremos ambos como acompañamiento del ramen. Colamos el caldo y desechamos el resto de tropezones. Desgrasamos para que quede más ligero.

Para preparar los huevos marinados llenamos un cacito con agua y llevamos a ebullición. Introducimos los huevos con cuidado de no golpearlos y cocemos durante exactamente seis minutos. Enfriamos en un cuenco con agua helada para cortar la cocción y pelamos.

Calentamos todos los ingredientes de la marinada en un cacito. Cuando hiervan retiramos del fuego y sumergimos los huevos y la panceta. Marinamos durante un par de horas, volteando de vez en cuando para que se impregnen de la salsa por todas partes.

Por último cocemos los fideos siguiendo las instrucciones del paquete y ya estamos casi listos para montar el ramen y servirlo. Solo falta quitar el hilo de la panceta y cortar en lonchas finas, cortar los huevos por la mitad, picar el cebollino, laminar las setas y trocear una lámina de alga nori.

A la hora de servir calentamos el caldo hasta que hierva para que llegue con buena temperatura a la mesa. Ponemos en cada cuenco cuatro o cinco cucharadas de la marinada de los huevos y la panceta, una ración de caldo, una ración de fideos, dos mitades de huevo cortado en dos mitades y un montoncito de panceta en rodajas.

Acompañamos de las setas laminadas, un puñado de brotes de espinacas, alga nori y cebollino picado. Espolvoreamos con semillas de sésamo negro y listos para disfrutar de la mejor receta de ramen que vais a encontrar."
